task,accuracy,f1_or_macro_f1,balanced_accuracy,roc_auc,pr_auc,macro_precision,macro_recall,ece,brier,log_loss,notes
Patch Presence (val),0.9803921568627451,0.9852941176470589,,0.9947135717031911,0.9977074620516254,,,,,,Binary patch-level metric
Patch Presence (test),0.9504716981132075,0.9498806682577566,,0.9792185831256675,0.9863027044769641,,,,,,Binary patch-level metric
Patient 3-class (holdout),0.7758620689655172,0.7492134459347574,0.7367872436330855,0.7977895349147603,0.670905397446111,0.7677083333333333,0.7367872436330855,0.12956155207713116,0.4384139953968239,2.599109804005338,Multiclass patient-level metric
